"id","name","address","city"
"30284","BKP ABRANTES","Avenida Dom João I, Rotunda do Olival","Abrantes"
"26731","BK ALBERGARIA","EN 1 (IC2) – Junto ao Pingo Doce - Zona Industrial de Albergaria","Albergaria-a-Velha"
"13863","BK ALGARVE SHOPPING","Algarve Shopping, loja 1302, Lanka Parque Com. e Ind. do Algarve, Lote R Fracção3, Tavagueira","Albufeira"
"29716","BKP Alcantarilha Rio-Park","Sudoeste Retail Park","Alcantarilha"
"30286","BKP ALCOBACA","R. de Leiria, 2460-059 Alcobaça, Portugal","Alcobaça"
"28935","BKP ALCOCHETE","Estrada Real nº 4005, 2890-155 Alcochete","Alcochete"
"28949","BKP MOITA","Estrada Nacional 11-1, nº 8, 2860-403 Alhos Vedros","Alhos Vedros"
"14495","BK FORUM ALMADA","Forum Almada - Estrada do caminho Municipal, 1011 LJ.3,31, Vale de Mourelos","Almada"
"17079","BK DV TEJO","Av. Manuel Cargaleiro, Centro Comercial DV Tejo, loja nº 1058","Amadora"
"28115","BK AMARANTE","Via Tamega Pinheiro Manso-Campo de Relas Pinheiro Manso","Amarante"
"21359","BK TERCEIRA","Circular externa de Angra, Rua Capitão João de Ávila - S. Pedro","Angra do Heroísmo"
"27115","BK PRAIA DA VITORIA","EN1-1A 1, CC. Continente, Praia da Vitória","Angra do Heroísmo"
"15986","BK AVEIRO CARREFOUR","C.C. Continente , Loja 49/68 Quinta Simão Sul, Estrada da Taboeira","Aveiro"
"26980","BKP VERDEMILHO","Rua Conselheiro Queiroz, SN004 LJ, Verdemilho, 3810-414 (Aveiro)","Aveiro"
"28561","BKP Barcelos","Avenida São José - 4750-307 Barcelos","Barcelos"
"27602","BK BARREIRO","Avenida movimento forças armadas","Barreiro"
"25860","BK BEJA","GAVETO DA ESTRADA DAS POLINÁRIAS EN 260","Beja"
"20597","BK BRAGA MEDIA MARKET","AV. Dom João II, Lamaçães","Braga"
"22471","BK BRAGA ARCADA","Centro Comercial Nova Arcada, loja 2.18, Quinta do Carvalhal, R. S. Martinho","Braga"
"26730","BK BRAGA REAL","Rua do Feital, n10 Frossos","Braga"
"27601","BKP BRAGA NORTE","Rua Américo Barbosa Lote X1, São Vicente, Braga, Portugal","Braga"
"26048","BK DRIVE BRAGANCA","Rua Arquitecto Viana de Lima Nº2","Bragança"
"21548","BK CALDAS DA RAINHA","Rua do Comércio, n.º 1 - Quinta do Salgado, Águas Santas ( Junto ao ELeclerc)","Caldas da Rainha"
"17152","BK CASCAIS","Rua das tulipas nº26","Cascais"
"19568","BK ABOBODA","Av Salgueiro Maia 1139 B Abóboda","Cascais"
"16204","BK CASTELO BRANCO","Forum Castelo Branco Loja 1.21 Avenida Prof Dr Egas Moniz","Castelo Branco"
"23840","BK CHAVES","Gaveto Rua Raio X E Av. D. João Chaves","Chaves"
