Nombre,Morada,CP,Local,Latitude,Longitude,Tel
ALCANTARILHA,"Sudoeste Retail Park",8365-023,Alcantarilha,37.132820,-8.359139,933930010
LAGOA,"Rua dos Vales Nº 2",8400-415,Lagoa,37.135339,-8.459517,933930010
BELEM,Rua de Belem 10 a 16,1300-004,Lisboa,38.697339,-9.202070,216035417
PENICHE,"Avenida Monsenhor Manuel Bastos Rodrigues de Sousa, nº 135",2520-206,Peniche,39.364526,-9.374538,933930008
LOUSADA,Rua do Comércio (n.º 32),4620-830,Lousada,41.265060,-8.292000,252061358
VILA REAL DE SANTO ANTÓNIO,Av. Fernando Salgueiro Maia N110,8900-265,Vila Real de Santo António,37.191354,-7.433053,933930010
SILVARES,"Rua Capitão Salgueiro Maia, Nº 70 (A)",4835-400,Guimarães,41.445100,-8.338400,932104503
BK NAZARÉ,"Avenida Nogent-Sur-Marne, nº 23",2450-138,Nazaré,39.607710,-9.066440,933930008
BARCELOS,Avenida São José,4750-307,Barcelos,41.537380,-8.623290,932104503
TROFA,"R. das Indústrias 475",4785-706,Trofa,41.326654,-8.567383,252062812
ALCOCHETE,Estrada Real nº 4005,2890-155,Alcochete,38.745480,-8.931070,932523633
MOITA,"Fonte da Prata, Alhos Vedros",2860-006,Moita,38.649770,-8.997280,933930010
SINES,"Loteamento Municipal a Norte da R52, Lote 8",7520-001,Sines,37.964070,-8.858000,932523633
SESIMBRA,"Rua Quinta do Sobreiro, nº 31",2970-866,Sesimbra,38.481180,-9.102950,932523633
SÃO MAMEDE DE INFESTA,R. Laranjeiras 891,4465-185,São Mamede Infesta,41.198461,-8.610223,222410659
TOMAR,Avenida Dr Aurelio Ribeiro,2300 - 305,Tomar,39.602708,-8.387336,933930008
TORRES NOVAS,Avenida Xanana Gusmão,2350-754,Torres Novas,39.467600,-8.538030,933930008
OLIVEIRA DE AZEMEIS,"Av. Eng. Arantes de Oliveira",3720-253,Oliveira de Azemeis,40.834260,-8.480420,256107713
MONTIJO,"Estrada Nacional 5, Alto Do Estanqueiro",2870-803,Montijo,38.701802,-8.960742,210185414
ALTA LISBOA,"R. Hermínio da Palma Inácio Lote 29.02",1750-224,Lisboa,38.788583,-9.146650,212400180
BRAGA NORTE,"Rua Américo Barbosa Lote X1",4710-007,"São Vicente, Braga, Portugal",41.559854,-8.418004,253189702
PORTO ALTO,"Avenida das Nações Unidas Nº 37",2135-114,Samora Correia,38.922135,-8.882822,932523633
MAFRA,"R. Alm. Gago Coutinho n. 7",2640-487,Mafra,38.932686,-9.330040,351932523633
FÁTIMA,Av. de Dom José Alves Correia da Silva,2495-402,Fátima,39.634038,-8.683507,933930008
VILA FRANCA DE XIRA,"Quinta do Cabo, povos",2600-277,Vila Franca de Xira,38.974450,-8.980310,932523633
ERICEIRA,"Estrada Nacional 116",2655-454,Ericeira,38.965514,-9.409164,261101650
VERDEMILHO,"Estrada Nacional 109 com interseção Rua Conselheiro Queiros, Verdemilho",3810-414,Aveiro,40.618541,-8.655136,933937315
MATOSINHOS,Rua Sousa Aroso Nº22-24,4450-208,Matosinhos,41.176472,-8.690595,222454301
